SKU,Item Name,Category,Subcategory,Total Amount,Average Price,Total Quantity,Apr-2025,May-2025,Jun-2025
1,Nutella,Others,,943.4,85.76,11,0.0,9.0,2.0
147,Cheese Burst,Others,,1184.43,49.35,24,0.0,14.0,10.0
148,Double Cheese Burst,Others,,582.0,52.91,11,0.0,6.0,5.0
149,Regular Cheese,Others,,825.61,19.66,42,0.0,24.0,18.0
150,Fried Momos,Others,,483.21,9.12,53,0.0,36.0,17.0
151,Paprika Paneer Pizza,Pizza (8 inches),,597.0,298.5,2,0.0,1.0,1.0
151,Paprika Paneer Pizza,Pizza (8 inches) & Garlic Bread,,464.28,232.14,2,0.0,,2.0
152,Pesto Mediterranean Bliss Pizza,Pizza (8 inches),,238.07,238.07,1,0.0,1.0,
152,Pesto Mediterranean Bliss Pizza,Pizza (8 inches) & Garlic Bread,,250.28,250.28,1,0.0,,1.0
153,Exotic Veggie Pizza,Pizza (8 inches) & Garlic Bread,,706.67,353.34,2,0.0,,2.0
153,Exotic Veggie Pizza,Pizza (8 inches),,1096.67,365.56,3,0.0,2.0,1.0
154,The Margherita Pizza,Pizza (8 inches),,324.73,162.37,2,0.0,2.0,
154,The Margherita Pizza,Pizza (8 inches) & Garlic Bread,,517.4,172.47,3,0.0,,3.0
155,Margherita Basil Supreme Pizza,Pizza (8 inches),,201.35,201.35,1,0.0,1.0,
155,Margherita Basil Supreme Pizza,Pizza (8 inches) & Garlic Bread,,550.48,275.24,2,0.0,,2.0
157,Paneer Smokeshow Pizza,Pizza (8 inches),,741.53,185.38,4,0.0,4.0,
158,Biscoff Ferrero Cheese Cake,No-Remorse,,492.1,246.05,2,0.0,1.0,1.0
158,Biscoff Ferrero Cheese Cake,No - Remorse,,206.1,206.1,1,0.0,1.0,
159,Caramel Almond Cold Coffee,Cold Coffee,,1750.0,175.0,10,0.0,2.0,8.0
160,Nutella Almond Cold Coffee,Cold Coffee,,1560.0,195.0,8,0.0,3.0,5.0
161,Steam momo,Momo & Nachos,,462.73,9.44,49,0.0,27.0,22.0
162,Paneer Tikka Sandwich,Sandwich (3 Layer),,1619.42,147.22,11,0.0,,11.0
163,water bottle ,Water Bottle,,520.0,10.0,52,0.0,19.0,33.0
164,Brownie Shake,Shades Of Shakes,,154.0,154.0,1,0.0,,1.0
168,Cheese garlic Bread,Pizza (8 inches) & Garlic Bread,,340.0,170.0,2,0.0,,2.0
170,Penne Alfredo Pasta,Pasta & Burger ,,787.24,262.41,3,0.0,,3.0
171,Penne Mix-Sauce Pasta,Pasta & Burger ,,843.43,281.14,3,0.0,,3.0
172,Penne Arrabiata,Pasta & Burger ,,271.55,271.55,1,0.0,,1.0
173,Mac n Cheese,Pasta & Burger ,,510.0,255.0,2,0.0,,2.0
175,Mediterranean Spaghetti,Pasta & Burger ,,1042.96,347.65,3,0.0,,3.0
176,Creamy Pesto Pasta,Pasta & Burger ,,610.0,305.0,2,0.0,,2.0
